,Unnamed: 0,folder,channel,type,filename,path,subbed,language,name,filetype,hardsub,episode,permalink,name_en,date,segment,name_ja,episode_id,date_id,peertubeid,cct_id,newpath,uploaded,langcheck,in_en,subs_burnt
224,3967,raw,lincoln,episode,Lincoln #225 (2011.04.19) - Lincoln academy awards 2011.mp4,raw/lincoln/episode/Lincoln #225 (2011.04.19) - Lincoln academy awards 2011.mp4,False,ja,Lincoln #225 2011.04.19 - Lincoln academy awards 2011,mp4,False,225,225-1-ja,Lincoln academy awards 2011,2011-04-19,0,,lincoln225_0,lincoln2011-04-19_0,lincoln-225-1-ja,lincoln_20110419_225_0,episode/lincoln_20110419_225_0_ja.mp4,False,lincoln2011-04-19,False,True
225,3968,raw,lincoln,episode,Lincoln #226 (2011.04.26) - The world of one hundred seconds 4(1).mp4,raw/lincoln/episode/Lincoln #226 (2011.04.26) - The world of one hundred seconds 4(1).mp4,False,ja,Lincoln #226 2011.04.26 - The world of one hundred seconds 41,mp4,False,226,226-1-ja,The world of one hundred seconds 41,2011-04-26,0,,lincoln226_0,lincoln2011-04-26_0,lincoln-226-1-ja,lincoln_20110426_226_0,episode/lincoln_20110426_226_0_ja.mp4,False,lincoln2011-04-26,False,True
226,3969,raw,lincoln,episode,Lincoln #227 (2011.05.03) - Otake's wedding party.flv,raw/lincoln/episode/Lincoln #227 (2011.05.03) - Otake's wedding party.flv,False,ja,Lincoln #227 2011.05.03 - Otake's wedding party,flv,False,227,227-1-ja,Otake's wedding party,2011-05-03,0,,lincoln227_0,lincoln2011-05-03_0,lincoln-227-1-ja,lincoln_20110503_227_0,episode/lincoln_20110503_227_0_ja.flv,False,lincoln2011-05-03,False,False
227,3970,raw,lincoln,episode,Lincoln #228 (2011.05.17) - Menu battle Guess what is in the dish.mp4,raw/lincoln/episode/Lincoln #228 (2011.05.17) - Menu battle Guess what is in the dish.mp4,False,ja,Lincoln #228 2011.05.17 - Menu battle Guess what is in the dish,mp4,False,228,228-1-ja,Menu battle Guess what is in the dish,2011-05-17,0,,lincoln228_0,lincoln2011-05-17_0,lincoln-228-1-ja,lincoln_20110517_228_0,episode/lincoln_20110517_228_0_ja.mp4,False,lincoln2011-05-17,False,True
228,4035,raw,lincoln,episode,Lincoln #229 (2011.05.24) - Oogiri daigassen with relatives 1(1).mp4,raw/lincoln/episode/Lincoln #229 (2011.05.24) - Oogiri daigassen with relatives 1(1).mp4,False,ja,Lincoln #229 2011.05.24 - Oogiri daigassen with relatives 11,mp4,False,229,229-1-ja,Oogiri daigassen with relatives 11,2011-05-24,0,,lincoln229_0,lincoln2011-05-24_0,lincoln-229-1-ja,lincoln_20110524_229_0,episode/lincoln_20110524_229_0_ja.mp4,False,lincoln2011-05-24,False,True
229,3971,raw,lincoln,episode,Lincoln #230 (2011.05.31) - The world of one hundred seconds 4(2).flv,raw/lincoln/episode/Lincoln #230 (2011.05.31) - The world of one hundred seconds 4(2).flv,False,ja,Lincoln #230 2011.05.31 - The world of one hundred seconds 42,flv,False,230,230-1-ja,The world of one hundred seconds 42,2011-05-31,0,,lincoln230_0,lincoln2011-05-31_0,lincoln-230-1-ja,lincoln_20110531_230_0,episode/lincoln_20110531_230_0_ja.flv,False,lincoln2011-05-31,False,False
230,3972,raw,lincoln,episode,Lincoln #231 (2011.06.07) - Midnight Radio.mp4,raw/lincoln/episode/Lincoln #231 (2011.06.07) - Midnight Radio.mp4,False,ja,Lincoln #231 2011.06.07 - Midnight Radio,mp4,False,231,231-1-ja,Midnight Radio,2011-06-07,0,,lincoln231_0,lincoln2011-06-07_0,lincoln-231-1-ja,lincoln_20110607_231_0,episode/lincoln_20110607_231_0_ja.mp4,False,lincoln2011-06-07,False,True
231,3973,raw,lincoln,episode,Lincoln #232 (2011.06.14) - Menu battle Guess what is in the dish.mp4,raw/lincoln/episode/Lincoln #232 (2011.06.14) - Menu battle Guess what is in the dish.mp4,False,ja,Lincoln #232 2011.06.14 - Menu battle Guess what is in the dish,mp4,False,232,232-1-ja,Menu battle Guess what is in the dish,2011-06-14,0,,lincoln232_0,lincoln2011-06-14_0,lincoln-232-1-ja,lincoln_20110614_232_0,episode/lincoln_20110614_232_0_ja.mp4,False,lincoln2011-06-14,False,True
232,3974,raw,lincoln,episode,Lincoln #233 (2011.06.21) - VTR Quiz Boke guess what tsukomi will do.mp4,raw/lincoln/episode/Lincoln #233 (2011.06.21) - VTR Quiz Boke guess what tsukomi will do.mp4,False,ja,Lincoln #233 2011.06.21 - VTR Quiz Boke guess what tsukomi will do,mp4,False,233,233-1-ja,VTR Quiz Boke guess what tsukomi will do,2011-06-21,0,,lincoln233_0,lincoln2011-06-21_0,lincoln-233-1-ja,lincoln_20110621_233_0,episode/lincoln_20110621_233_0_ja.mp4,False,lincoln2011-06-21,False,True
233,3975,raw,lincoln,episode,Lincoln #234 (2011.07.05) - Costume Bus Tour.mp4,raw/lincoln/episode/Lincoln #234 (2011.07.05) - Costume Bus Tour.mp4,False,ja,Lincoln #234 2011.07.05 - Costume Bus Tour,mp4,False,234,234-1-ja,Costume Bus Tour,2011-07-05,0,,lincoln234_0,lincoln2011-07-05_0,lincoln-234-1-ja,lincoln_20110705_234_0,episode/lincoln_20110705_234_0_ja.mp4,False,lincoln2011-07-05,False,True
