show_id,show,show_ja,date,episode,segment,name_ja,metadata,knightscoop_host,knightscoop_detective,knightscoop_location
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-08-20,22,3,シシャモのオスはどこへ？,"ホスト:中島健仁, 探偵: , 位置: ",中島健仁,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-08-27,23,1,構成作家の実態,"ホスト:中島健仁
香川登枝緒, 探偵: 北野誠, 位置: ","中島健仁
香川登枝緒",北野誠,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-08-27,23,2,いまどきのカップル,"ホスト:中島健仁
香川登枝緒, 探偵: , 位置: ","中島健仁
香川登枝緒",,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-08-27,23,3,探偵会議,"ホスト:中島健仁
香川登枝緒, 探偵: , 位置: ","中島健仁
香川登枝緒",,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-09-03,24,1,タコは月夜にイモを掘るか？,"ホスト:香川登枝緒, 探偵: 桂小枝, 位置: ",香川登枝緒,桂小枝,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-09-03,24,2,ディスコの実態,"ホスト:香川登枝緒, 探偵: , 位置: ",香川登枝緒,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-09-03,24,3,童謡『赤い靴』の少女,"ホスト:香川登枝緒, 探偵: , 位置: ",香川登枝緒,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-09-10,25,1,アイデア商品で一攫千金？,"ホスト:中島健仁, 探偵: 槍魔栗三助, 位置: ",中島健仁,槍魔栗三助,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-09-10,25,2,ダイレクトメールの名簿,"ホスト:中島健仁, 探偵: , 位置: ",中島健仁,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-09-10,25,3,ピアスは安全か,"ホスト:中島健仁, 探偵: , 位置: ",中島健仁,,
knightscoop,KNIGHT SCOOP,探偵!ナイトスクープ,1988-09-17,26,1,方向音痴の謎,"ホスト:香川登枝緒
中島健仁, 探偵: , 位置: ","香川登枝緒
中島健仁",,
