cctid,show_id,show,show_ja,date,episode,segment,name_ja,description_ja,metadata,playlist,subbed,ccturl
gakinotsukai_19900828_46_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-08-28,46,0,占いクイズ合戦　さて何でしょう？,,"{""opening_jp"":""男のファンはヘン→道歩いててちょっかい出されたことある→京都のディスコであった怖い話→両刀→[ハガキ]浜ちゃん決死のダイビングは感動的でした。この次も頑張ってください→ダウンタウンの二人は親のHを聞いたり見たりしたことはありますか？""}",,,https://chikichiki.tube/gakinotsukai/video/46-1-ja
gakinotsukai_19900904_47_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-09-04,47,0,仮装大賞ヨカッタヨーン!!,,"{""opening_jp"":""全日空で一時間半も待たされた→新幹線でうるさかった→グリーン→[ハガキ]大阪にブラッキーズという松ちゃんの親衛隊がいたと聞きましたが本当ですか？→ぼくのおじいちゃんにあだ名を付けてほしいんです→私は女で背が186cmもあるんです。どうすれば目立たなくなるんでしょうか→ダウンタウンの二人はバッタもんを買ったことがありますか？→松ちゃんはアルタでファンの人が叫んでもシカトしていますが松ちゃんはファンの人が嫌いなんですか？""}",,,https://chikichiki.tube/gakinotsukai/video/47-1-ja
gakinotsukai_19900911_48_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-09-11,48,0,じぃちゃんばあちゃんかくれんぼ!!,,"{""opening_jp"":""新聞にダウンタウンは解散するという記事が載った→[ハガキ]この前アルタに松本さんを見に行ったら機嫌が悪かったのですが？""}",,,https://chikichiki.tube/gakinotsukai/video/48-1-ja
gakinotsukai_19900918_49_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-09-18,49,0,がっちり買いましょうIN沖縄!!,,"{""opening_jp"":""沖縄来たのは4回目か5回目ぐらい→沖縄で紹介された物→[ハガキ]ダウンタウンの二人はなにかお稽古ごとはやりましたか→ダウンタウンの二人は学生時代バイトしていましたか？""}",,,https://chikichiki.tube/gakinotsukai/video/49-1-ja
gakinotsukai_19900925_50_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-09-25,50,0,ビーチバレーIN沖縄!!,,"{""opening_jp"":""日本でどこが一番好きか→大阪→子供の名前どうする→[ハガキ]昔ダウンタウンの二人がスナックでアルバイトをしていたとき、襲われそうになったと聞きましたが本当ですか→ダウンタウンの二人は追っかけのことをどう思っているのですか？これからやろうと思っている私にアドバイスをお願いします→松っちゃんはいいともで黒のグラサンなどしてカッコ付けていますが何さまのつもりなんですか""}",,,https://chikichiki.tube/gakinotsukai/video/50-1-ja
gakinotsukai_19901002_51_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-10-02,51,0,仮装大賞予選,,"{""opening_jp"":""[ハガキ]松本さんが痔の手術をしたときの看護婦は私の姉です→浜ちゃん、松ちゃん私に彼氏を紹介してください、スタッフに誰かいませんか？電話待ってます""}",,,https://chikichiki.tube/gakinotsukai/video/51-1-ja
gakinotsukai_19901009_52_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-10-09,52,0,仮装大賞・100万円はもらったも同然だ！（合格ラインで合格！）,,"{""opening_jp"":""19点取れたので上等→一点入れなかったやつは誰なのか→次は人文字に挑戦する""}",,,https://chikichiki.tube/gakinotsukai/video/52-1-ja
gakinotsukai_19901016_53_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-10-16,53,0,Mr.レディと腕相撲大会!!,,"{""opening_jp"":""[ハガキ]浜田さんは大先輩を呼び捨てにしていますが芸能界では生きていけるんですか？→4時ですよ〜だで抱きつくのはいつも松本さんだということが分かりましたが、松本さんがこれだけ抱きついていることに対し浜田さんはどう思っているのですか？→彼氏が浮気をしていたので「浜ちゃんにやってもらう」と言ったら「お前程度のテクニックでは浜ちゃんは相手にせえへん」と言われました。頭に来たので別れるにして何かしてから別れたいです。浜田さんテレビで返事をしてください、アホな彼氏に一言言ってください。""}",,,https://chikichiki.tube/gakinotsukai/video/53-1-ja
gakinotsukai_19901023_54_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-10-23,54,0,お見合い大作戦,,"{""opening_jp"":""緊張してる人間っておもしろい→ヤクザの女に手を出した松本→つかぐちさん→[ハガキ]ダウンタウンのお二人が、酔っぱらったときや寝ぼけたときにしてしまったことを教えてください""}",,,https://chikichiki.tube/gakinotsukai/video/54-1-ja
gakinotsukai_19901030_55_0,gakinotsukai,Gaki no Tsukai,ダウンタウンのガキの使いやあらへんで!!,1990-10-30,55,0,マジック種明かし大作戦!!,,"{""opening_jp"":""研究→人の表情は何種類あるのか→日本人は表情作るのが下手→9年ぐらい前、この世界入ってすぐの話→[ハガキ]二人はいとしこいしさんに似ていますね→電車でせんずりをこいていたおじさんを見た。男の人はどうしてこういうことをするのですか、浜ちゃん松ちゃんはそういうことをしたことがありますか、これからも頑張ってください""}",,,https://chikichiki.tube/gakinotsukai/video/55-1-ja
